Node1,Node2,Edge Length
1,25,26.729
1,29,29.93
1,5,46.89
2,11,30.007
2,12,51.24
2,46,82.089
3,40,33.968
3,4,38.934
4,74,65.596
5,71,120.716
6,56,45.374
6,75,72.848
7,52,131.257
8,29,71.758
8,44,205.048
9,35,54.593
9,16,71.135
10,47,70.876
11,34,78.001
12,64,20.944
13,40,46.811
14,67,49.451
15,73,16.991
15,19,64.161
17,18,54.811
17,30,78.429
17,19,78.752
18,65,28.09
18,77,84.072
19,78,100.11
20,27,70.027
21,74,92.696
21,51,102.25
21,23,115.18
22,57,76.024
22,68,206.918
23,33,68.424
23,35,74.809
24,52,42.531
25,31,43.858
26,71,33.192
26,51,40.81
27,60,81.86
28,39,126.691
28,42,255.734
30,36,62.734
32,57,58.559
32,56,69.858
33,69,61.443
34,41,66.465
36,47,82.194
37,39,99.121
37,79,159.302
38,68,104.946
38,47,135.018
40,45,89.185
41,50,54.394
43,44,244.336
43,63,259.313
45,81,41.296
48,54,36.032
48,52,52.602
48,80,111.331
49,49A,35.345
49,71,48.309
49A,72,75.401
50,74,43.499
53,54,17.854
53,75,21.353
53,55,31.558
55,59,32.32
57,58,60.785
60,62,52.952
61,62,133.767
61,79,211.974
64,67,64.589
64,66,73.155
66,70,85.354
72,79,58.527
76,77,104.874
77,81,73.333
